"Name"	"Rarity"	"Effects"	"BasePrice"	"Limit"	"UnlockedBy"	"Tags"
"Snowball"	"Tier 2"	"+1 Elemental Damage every time you get an item that increases Elemental Damage"	"50"	"1"	""	"Elemental Damage"
"Spicy Sauce"	"Tier 2"	"+3 Max HP
Consumables have a 50% chance to explode for 10 (+100%) damage when picked up"	"40"	"2"	"Win a run with Glutton"	"Max HP	 Luck	 Explosive"
"Spider"	"Tier 4"	"+12 % Damage
+6 % Attack Speed for every different weapon you have
-3 % Dodge
-5 Harvesting"	"110"	""	"Win a run with Gladiator"	"Damage	 Attack Speed"
"Spyglass(DLC)"	"Tier 2"	"+10 Range
-25 % Reroll Price"	"30"	"2"	""	"Range"
"Starfish(DLC)"	"Tier 3"	"+20% materials dropped from enemies
+10 Harvesting
+15 % Enemy damage"	"75"	"3"	"Win a run with Diver"	"Harvesting"
"Statue"	"Tier 3"	"+40 % Attack Speed while standing still
-10 % Speed"	"60"	""	""	"Attack Speed	 Stand Still"
"Stone Skin"	"Tier 3"	"+1 Max HP for every permanent 1 Armor you have
-6 % Attack Speed"	"85"	"1"	"Win a run with Golem"	"Armor	 Max HP"
"Strange Book"	"Tier 3"	"+1 Engineering for every permanent 1 Elemental Damage you have
-1 Melee Damage
-1 Ranged Damage"	"70"	"1"	""	"Engineering	 Elemental Damage"
"Sunglasses"	"Tier 2"	"+10 % Crit Chance
-1 Armor"	"50"	""	""	"Crit Chance"
"Sunken Bell(DLC)"	"Tier 3"	"Once per wave	 you explode for 100 (+500%+500%+500%+500%) damage when you fall below 40% health"	"65"	"1"	""	"Explosive"
"Tardigrade"	"Tier 3"	"Nullifies the damage of one hit taken every wave"	"50"	""	""	""
"Tentacle"	"Tier 2"	"+3 % Crit Chance
+20% chance to heal 1 HP when killing an enemy with a critical hit"	"35"	"5"	"Win a run with Lich"	"Crit Chance"
"Terrified Onion"	"Tier 1"	"+4 % Speed
-5 Luck"	"15"	""	""	"Speed"
"Toolbox"	"Tier 3"	"+6 Engineering
-8 % Attack Speed"	"55"	""	""	"Engineering"
"Torture"	"Tier 4"	"+15 Max HP
Restore 5 HP per second. Cannot heal any other way."	"100"	"1"	""	"Max HP"
"Toxic Sludge"	"Tier 1"	"+2 Elemental Damage
-2 % Dodge"	"20"	""	""	"Elemental Damage"
"Tractor"	"Tier 3"	"+40 Harvesting
-8 % Damage"	"70"	""	""	"Harvesting"
"Treasure Map(DLC)"	"Tier 2"	"+20% chance of finding an extra item in a crate"	"35"	"5"	"Win a run with Sailor"	"Luck"
"Tree"	"Tier 1"	"More trees spawn"	"15"	""	""	"Exploration"
"Triangle of Power"	"Tier 3"	"+20 % Damage
+1 Armor
-2 % Damage when you take damage until the end of the wave"	"65"	""	""	"Damage"
"Turret"	"Tier 1"	"Spawns a turret that shoots bullets dealing 10 (+80%) damage"	"15"	""	""	"Engineering	 Structure"
"Tyler"	"Tier 3"	"Spawns a little guy that slowly shoots 10 piercing lightning projectiles around him for 10 (+75%+75%) damage each"	"75"	""	""	"Engineering	 Elemental Damage	 Structure"
"Ugly Tooth"	"Tier 1"	"Hitting an enemy removes 5% of their speed. Max 20%
-3 % Speed"	"25"	"1"	""	"Less Enemy Speed"
"Vigilante Ring"	"Tier 3"	"+3 % Damage at the end of a wave"	"92"	""	""	"Damage"
"Wandering Bot"	"Tier 3"	"Spawns a little bot that slows down nearby enemies"	"60"	""	""	"Less Enemy Speed	 Structure"
"Warrior Helmet"	"Tier 3"	"+3 Armor
+5 Max HP
-5 % Speed"	"80"	""	""	"Armor	 Max HP"
"Weird Food"	"Tier 1"	"+2 HP recovered from consumables
-2 % Dodge"	"20"	""	""	"Consumable"
"Weird Ghost"	"Tier 1"	"+3 Max HP
Start the next wave with 1 HP"	"12"	""	""	"Max HP"
"Wheat"	"Tier 3"	"+4 Melee Damage
+2 Ranged Damage
+10 Harvesting
-2 Elemental Damage"	"85"	""	"Win a run with Farmer"	"Melee Damage	 Ranged Damage	 Harvesting"
"Wheelbarrow"	"Tier 2"	"+16 Harvesting
-1 Armor"	"40"	""	""	"Harvesting"
"Whetstone"	"Tier 2"	"+4 % Life Steal
-3 Knockback"	"40"	""	"Win a run with Sick"	"Life Steal"
"Whistle(DLC)"	"Tier 1"	"+50% chance for loot aliens to appear
+20% movement speed for loot aliens"	"25"	"1"	""	""
"White Flag"	"Tier 2"	"+5 Harvesting
-5% Enemies"	"40"	"1"	""	"Harvesting	 Less Enemies"
"Will-o'-Wisp"	"Tier 3"	"+1 Elemental Damage for every 30 burning enemies you kill during a wave (max +4 per wave)
-7% Attack Speed"	"80"	""	"Kill 30 enemies by burning them in a single wave"	"Elemental Damage"
"Wings"	"Tier 3"	"+10 % Speed
+30 Range
-2 Elemental Damage"	"85"	""	""	"Speed	 Range"
"Wisdom"	"Tier 3"	"+5 % Damage every 5 seconds until the end of the wave
-15 % Damage"	"85"	"1"	""	"Damage"
"Wolf Helmet"	"Tier 4"	"+10 Elemental Damage
+20 Luck
-5 Engineering"	"90"	""	""	"Elemental Damage	 Luck"
