"source_name","source_rarity","source_base_price","source_limit","source_unlocked_by","source_tags","source_effects","tele_rarity","tele_category","tele_tags","remap_confidence","remap_reason"
"Piggy Bank","Tier 2","40","1","","","+20% of your materials at the start of waves (stops working at wave 20)","uncommon","economy_ops","economy","medium","signals=1; rule=economy_ops"
"Pile of Books","Tier 3","70","1","","Crit Chance;Engineering","your structures can crit; +3 % crit chance; +3 engineering","rare","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Plant","Tier 1","15","","","HP Regeneration","+3 hp regeneration; -1 % life steal","common","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Plastic Explosive","Tier 3","60","","","Explosive","+25 % explosion size","rare","weapon_behavior","output","medium","signals=1; rule=weapon_behavior"
"Pocket Factory","Tier 2","75","1","","Engineering;Exploration;Structure","+2 engineering; killing a tree spawns a turret","uncommon","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Poisonous Tonic","Tier 3","80","","","Attack Speed;Crit Chance;Range","+10 % attack speed; +5 % crit chance; +15 range; -2 hp regeneration","rare","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Potato","Tier 4","95","","Win a run with Well Rounded","Max HP;HP Regeneration;Damage;Speed;Luck","+3 max hp; +2 hp regeneration; +1 % life steal; +5 % damage; +5 % attack speed; +3 % speed; +3 % dodge; +1 armor; +5 luck","epic","build_core","output;survival;economy;utility","high","signals=8; rule=build_core"
"Power Generator","Tier 3","65","1","","Speed;Damage","+1 % damage for every permanent 1 % speed you have; -5 % damage","rare","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Propeller Hat","Tier 1","28","","","Luck","+10 luck; -2 % damage","common","build_core","output;economy","high","signals=3; rule=build_core"
"Pumpkin","Tier 2","40","","","Ranged Damage","+15% piercing damage. can't go above base damage; -2 % damage","uncommon","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Recycling Machine","Tier 2","35","1","","Economy","gain 35% more materials from recycling items","uncommon","economy_ops","economy","medium","signals=2; rule=economy_ops"
"Regeneration Potion","Tier 4","90","1","","HP Regeneration","hp regeneration is doubled when you have less than 50% health; +3 hp regeneration","epic","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Reinforced Steel","Tier 2","50","","","Ranged Damage;Engineering","+2 ranged damage; +3 engineering; -3 % speed","uncommon","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Retromation's Hoodie","Tier 4","110","1","","Dodge","+2 % attack speed for every 1 % dodge you have; -80 range","epic","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Ricochet","Tier 4","110","","","Ranged Damage","your projectiles gain +1 bounce; -25 % damage","epic","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Rip and Tear","Tier 3","65","5","Win a run with Loud","Melee Damage;Explosive","enemies have a 20% chance to explode for 10 (+50%) damage when they die; -5 % crit chance","rare","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Riposte","Tier 2","40","","","Dodge;Melee Damage","+2 melee damage; 100% chance to deal 1 (300%) damage to an enemy when dodging their attack","uncommon","build_core","output;survival","high","signals=3; rule=build_core"
"Ritual","Tier 2","60","","Win a run with Ghost","Damage;Life Steal","+6 % damage; +2 % life steal; -2 engineering","uncommon","build_core","output;survival","high","signals=4; rule=build_core"
"Robot Arm","Tier 4","100","","Win a run with Engineer","Melee Damage;Engineering","+3 melee damage at the end of a wave; +3 engineering at the end of a wave; -1 max hp at the end of a wave","epic","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Sad Tomato","Tier 3","50","1","","HP Regeneration","+8 hp regeneration; start waves with -50% hp","rare","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Saltwater(DLC)","Tier 2","50","1","","Melee Damage;Attack Speed;Speed","+2 melee damage; +3 % attack speed; +10 % speed for 3 seconds when you take damage; -1 elemental damage","uncommon","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Scar","Tier 1","25","","","XP Gain","+20 % xp gain; -8 range","common","economy_ops","economy;utility","high","signals=3; rule=economy_ops"
"Scared Sausage","Tier 1","25","4","","Elemental Damage","attacks have a 25% chance to deal 3x1 (+100%) burning damage","common","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Scarf(DLC)","Tier 3","80","","Win a run with Hiker","HP Regeneration;Melee Damage;Speed","+4 hp regeneration; +4 melee damage; +4 % speed; +25 % enemy speed during the next wave","rare","build_core","output;survival;utility","high","signals=6; rule=build_core"
"Scope","Tier 2","48","","","Ranged Damage;Range","+2 ranged damage; +25 range; -7 % attack speed","uncommon","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Seashell(DLC)","Tier 4","100","1","","Ranged Damage","every ranged weapon's 5th projectile has +3 projectiles; -10 % damage","epic","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Shackles","Tier 3","80","1","","Range;HP Regeneration;Engineering","+8 hp regeneration; +8 engineering; +80 range; your speed is capped at its current value","rare","build_core","output;survival;utility","high","signals=5; rule=build_core"
"Shady Potion","Tier 2","48","","","Luck","+20 luck; -2 hp regeneration","uncommon","build_core","survival;economy","high","signals=3; rule=build_core"
"Sharp Bullet","Tier 1","25","1","","Ranged Damage","projectiles pierce through 1 additional target; -20% piercing damage; -5 % damage; -3 knockback","common","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Shmoop","Tier 3","60","","","Max HP;HP Regeneration","+6 max hp; +2 hp regeneration; -2 melee damage; -1 ranged damage","rare","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Sifd's Relic","Tier 4","100","1","","Pickup;Armor","+3 armor; +100% chance to instantly attract a material when it’s dropped","epic","survival_counter","survival;utility","high","signals=3; rule=survival_counter"
"Silver Bullet","Tier 3","70","","","Damage","+25% damage against bosses and elites","rare","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Small Fish(DLC)","Tier 1","18","","","Damage","+10% damage against targets above 75% health; -3 % attack speed","common","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Small Magazine","Tier 2","60","","","Ranged Damage;Attack Speed","+2 ranged damage; +10 % attack speed; -6 % damage","uncommon","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Snail","Tier 2","40","1","Win a run with Old","Less Enemy Speed","-8 % enemy speed; -3 % speed","uncommon","survival_counter","survival;utility","medium","signals=2; rule=survival_counter"
"Snake","Tier 1","25","","","Elemental Damage","burning spreads to an additional nearby enemy; -1 max hp","common","build_core","output;survival","high","signals=3; rule=build_core"
"Snowball","Tier 2","50","1","","Elemental Damage","+1 elemental damage every time you get an item that increases elemental damage","uncommon","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Spicy Sauce","Tier 2","40","2","Win a run with Glutton","Max HP;Luck;Explosive","+3 max hp; consumables have a 50% chance to explode for 10 (+100%) damage when picked up","uncommon","build_core","output;survival;economy;utility","high","signals=6; rule=build_core"
"Spider","Tier 4","110","","Win a run with Gladiator","Damage;Attack Speed","+12 % damage; +6 % attack speed for every different weapon you have; -3 % dodge; -5 harvesting","epic","build_core","output;survival;economy;utility","high","signals=5; rule=build_core"
"Spyglass(DLC)","Tier 2","30","2","","Range","+10 range; -25 % reroll price","uncommon","build_core","output;economy;utility","high","signals=4; rule=build_core"
"Starfish(DLC)","Tier 3","75","3","Win a run with Diver","Harvesting","+20% materials dropped from enemies; +10 harvesting; +15 % enemy damage","rare","build_core","output;economy","high","signals=3; rule=build_core"
"Statue","Tier 3","60","","","Attack Speed;Stand Still","+40 % attack speed while standing still; -10 % speed","rare","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Stone Skin","Tier 3","85","1","Win a run with Golem","Armor;Max HP","+1 max hp for every permanent 1 armor you have; -6 % attack speed","rare","build_core","output;survival;utility","high","signals=4; rule=build_core"
"Strange Book","Tier 3","70","1","","Engineering;Elemental Damage","+1 engineering for every permanent 1 elemental damage you have; -1 melee damage; -1 ranged damage","rare","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Sunglasses","Tier 2","50","","","Crit Chance","+10 % crit chance; -1 armor","uncommon","build_core","output;survival","high","signals=3; rule=build_core"
"Sunken Bell(DLC)","Tier 3","65","1","","Explosive","once per wave, you explode for 100 (+500%+500%+500%+500%) damage when you fall below 40% health","rare","build_core","output;survival","high","signals=3; rule=build_core"
"Tardigrade","Tier 3","50","","","","nullifies the damage of one hit taken every wave","rare","weapon_behavior","output","medium","signals=1; rule=weapon_behavior"
"Tentacle","Tier 2","35","5","Win a run with Lich","Crit Chance","+3 % crit chance; +20% chance to heal 1 hp when killing an enemy with a critical hit","uncommon","build_core","output;survival","high","signals=3; rule=build_core"
"Terrified Onion","Tier 1","15","","","Speed","+4 % speed; -5 luck","common","economy_ops","economy;utility","high","signals=3; rule=economy_ops"
"Toolbox","Tier 3","55","","","Engineering","+6 engineering; -8 % attack speed","rare","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Torture","Tier 4","100","1","","Max HP","+15 max hp; restore 5 hp per second. cannot heal any other way.","epic","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Toxic Sludge","Tier 1","20","","","Elemental Damage","+2 elemental damage; -2 % dodge","common","build_core","output;survival","high","signals=3; rule=build_core"
"Tractor","Tier 3","70","","","Harvesting","+40 harvesting; -8 % damage","rare","build_core","output;economy","high","signals=3; rule=build_core"
"Treasure Map(DLC)","Tier 2","35","5","Win a run with Sailor","Luck","+20% chance of finding an extra item in a crate","uncommon","economy_ops","economy","medium","signals=2; rule=economy_ops"
"Tree","Tier 1","15","","","Exploration","more trees spawn","common","rhythm_resource","utility","medium","signals=2; rule=rhythm_resource"
"Triangle of Power","Tier 3","65","","","Damage","+20 % damage; +1 armor; -2 % damage when you take damage until the end of the wave","rare","build_core","output;survival","high","signals=3; rule=build_core"
"Turret","Tier 1","15","","","Engineering;Structure","spawns a turret that shoots bullets dealing 10 (+80%) damage","common","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Tyler","Tier 3","75","","","Engineering;Elemental Damage;Structure","spawns a little guy that slowly shoots 10 piercing lightning projectiles around him for 10 (+75%+75%) damage each","rare","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Ugly Tooth","Tier 1","25","1","","Less Enemy Speed","hitting an enemy removes 5% of their speed. max 20%; -3 % speed","common","survival_counter","survival;utility","medium","signals=2; rule=survival_counter"
"Vigilante Ring","Tier 3","92","","","Damage","+3 % damage at the end of a wave","rare","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Wandering Bot","Tier 3","60","","","Less Enemy Speed;Structure","spawns a little bot that slows down nearby enemies","rare","survival_counter","survival;utility","high","signals=3; rule=survival_counter"
"Warrior Helmet","Tier 3","80","","","Armor;Max HP","+3 armor; +5 max hp; -5 % speed","rare","survival_counter","survival;utility","high","signals=3; rule=survival_counter"
"Weird Food","Tier 1","20","","","Consumable","+2 hp recovered from consumables; -2 % dodge","common","survival_counter","survival;utility","high","signals=3; rule=survival_counter"
"Weird Ghost","Tier 1","12","","","Max HP","+3 max hp; start the next wave with 1 hp","common","survival_counter","survival","medium","signals=2; rule=survival_counter"
"Wheat","Tier 3","85","","Win a run with Farmer","Melee Damage;Ranged Damage;Harvesting","+4 melee damage; +2 ranged damage; +10 harvesting; -2 elemental damage","rare","build_core","output;economy;utility","high","signals=5; rule=build_core"
"Wheelbarrow","Tier 2","40","","","Harvesting","+16 harvesting; -1 armor","uncommon","build_core","survival;economy","high","signals=3; rule=build_core"
"Whetstone","Tier 2","40","","Win a run with Sick","Life Steal","+4 % life steal; -3 knockback","uncommon","survival_counter","survival;utility","high","signals=3; rule=survival_counter"
"Whistle(DLC)","Tier 1","25","1","","","+50% chance for loot aliens to appear; +20% movement speed for loot aliens","common","rhythm_resource","utility","medium","signals=1; rule=rhythm_resource"
"White Flag","Tier 2","40","1","","Harvesting;Less Enemies","+5 harvesting; -5% enemies","uncommon","build_core","survival;economy","high","signals=3; rule=build_core"
"Will-o'-Wisp","Tier 3","80","","Kill 30 enemies by burning them in a single wave","Elemental Damage","+1 elemental damage for every 30 burning enemies you kill during a wave (max +4 per wave); -7% attack speed","rare","weapon_behavior","output;utility","high","signals=3; rule=weapon_behavior"
"Wings","Tier 3","85","","","Speed;Range","+10 % speed; +30 range; -2 elemental damage","rare","weapon_behavior","output;utility","high","signals=4; rule=weapon_behavior"
"Wisdom","Tier 3","85","1","","Damage","+5 % damage every 5 seconds until the end of the wave; -15 % damage","rare","weapon_behavior","output","medium","signals=2; rule=weapon_behavior"
"Wolf Helmet","Tier 4","90","","","Elemental Damage;Luck","+10 elemental damage; +20 luck; -5 engineering","epic","build_core","output;economy","high","signals=4; rule=build_core"
